id_curso,quantidade_de_alunos,nome_do_curso
1,8,Lógica de programação
2,81,Java para Web
3,18,C# para Web
4,17,Ruby on Rails
5,24,Cursos de Python
6,68,PHP com MySql
7,4,.NET para web
8,54,Novas integrações com Java
9,68,TDD com Java
10,48,Código limpo com C#
11,57,Preparatório para certificação Java
12,12,Hardware básico
13,45,Persistência com .NET
14,46,Desenvolvendo jogos
15,26,Análise de dados
16,71,Estatística básica
17,37,Internet das coisas
18,79,Programação funcional
19,59,Boas práticas em Java
20,33,Orientação objetos com Java
